行业代码,行业名称,一级行业名称,分类版本,来源,核验备注
460501,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460601,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460801,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460802,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460803,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460804,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460901,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
460902,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
461002,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
461003,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
461004,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
461101,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
461102,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
461103,社会服务,社会服务,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
480101,银行,银行,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
480201,银行,银行,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
480301,银行,银行,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
480401,银行,银行,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
480501,银行,银行,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490101,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490201,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490301,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490302,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490303,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490304,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490305,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490306,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490307,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
490308,非银金融,非银金融,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
510101,综合,综合,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610101,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610102,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610201,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610202,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610301,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610302,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610303,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610304,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
610305,建筑材料,建筑材料,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620101,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620201,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620301,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620302,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620303,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620304,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620305,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620306,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620307,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620401,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620402,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620403,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620404,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620501,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
620601,建筑装饰,建筑装饰,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630101,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630201,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630202,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630203,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630301,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630302,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630303,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630304,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630305,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630306,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630401,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630402,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630403,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630404,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630501,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630502,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630503,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630504,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630505,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630601,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630602,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630701,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630702,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630703,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630704,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630705,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630801,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630802,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630803,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630804,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
630805,电力设备,电力设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640101,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640102,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640103,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640104,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640105,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640106,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640107,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640108,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640201,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640202,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640203,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640204,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640205,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640206,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640207,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640208,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640209,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640301,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640401,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640501,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640601,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640602,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640701,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640702,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640703,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
640704,机械设备,机械设备,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
650101,国防军工,国防军工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
650201,国防军工,国防军工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
650301,国防军工,国防军工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
650401,国防军工,国防军工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
650501,国防军工,国防军工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
710101,计算机,计算机,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
710102,计算机,计算机,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
710103,计算机,计算机,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
710201,计算机,计算机,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
710202,计算机,计算机,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
710301,计算机,计算机,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
710401,计算机,计算机,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
710402,计算机,计算机,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720101,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720102,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720103,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720104,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720201,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720301,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720302,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720303,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720401,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720501,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720502,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720601,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720602,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720701,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720703,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720704,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720705,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720706,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720901,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
720902,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
721001,传媒,传媒,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730101,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730102,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730103,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730104,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730201,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730202,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730203,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730204,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730205,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730206,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
730207,通信,通信,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
740101,煤炭,煤炭,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
740102,煤炭,煤炭,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
740201,煤炭,煤炭,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
750101,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
750201,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
750202,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
750301,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
750302,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
750303,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
760101,环保,环保,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
760102,环保,环保,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
760103,环保,环保,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
760104,环保,环保,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
760201,环保,环保,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
770101,美容护理,美容护理,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
770102,美容护理,美容护理,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
770201,美容护理,美容护理,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
770202,美容护理,美容护理,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
770301,美容护理,美容护理,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
770302,美容护理,美容护理,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
